(50, 4170)
(565, 4200)
(1148, 4222)
(1733, 4237)
(2286, 4237)
(2944, 4222)
(3610, 4192)
(3632, 3740)
(3661, 3029)
(3661, 2540)
(3664, 1918)
(3653, 1384)
(3618, 562)
(3251, 569)
(2904, 569)
(2564, 547)
(2208, 525)
(1854, 532)
(1498, 532)
(1132, 540)
(781, 547)
(425, 569)
(80, 584)
(58, 725)
(29, 1229)
(23, 1844)
(7, 2362)
(10, 2933)
(23, 3400)
(42, 4155)
